m,m_bits,p,p_bits,a,b,N
17412833,25,892581708233,40,104600431031,104387981092,892581819580
20094409,25,3335693429,32,2332487176,1070618871,3335671894
21094813,25,55247337869,36,24742274389,47033322488,55247315247
24450061,25,55599622681,36,26968259014,8546580550,55599438714
29325581,25,744458806187,40,132525792095,23600463038,744459199266
34223447,26,136881317,28,81960981,62760503,136893788
36030067,26,3206631829,32,1639017063,1639185487,3206675963
41077711,26,246470027,28,153188624,128102268,246466266
43834969,26,263021441,28,150706052,122233547,263009814
45113437,26,43038606763,36,22275840088,33863303937,43038218898
55914533,26,612152589353,40,103535845993,131331436556,612152307284
67985653,27,1068053386667,40,541020504847,193716277410,1068054608630
74946913,27,4122034379,32,3383333417,2111564472,4122080215
83536039,27,730689157427,40,37305071181,656167638965,730689733133
84947729,27,66004500259,36,3812174968,23721860891,66004385433
85394717,27,256161817,28,211084878,120967898,256184151
98050567,27,49515881059,36,7585837279,9924167588,49515536335
106801763,27,3844883477,32,507760720,1464094669,3844863468
122810197,27,2701770853,32,285026542,1483480962,2701824334
138787669,28,52461695089,36,6080315801,207985076,52461738882
165130799,28,63575574449,36,37644025429,45333300376,63575357615
169538869,28,169559251,28,155966017,123655417,169538869
190937497,28,3436908647,32,2440593827,958055613,3436874946
241561069,28,241574929,28,78572576,137998575,241561069
245657539,28,50114494459,36,15016111371,34023950773,50114137956
253664623,28,4058711603,32,3597755713,3343677285,4058633968
263761489,28,263753323,28,100947128,5316435,263761489
354888421,29,569240563919,40,308470043123,235812454445,569241027284
360726307,29,2164400369,32,782768052,812890473,2164357842
364786033,29,2553413963,32,1868889136,1056286159,2553502231
425393701,29,39987128339,36,8025736285,25110818655,39987007894
519368131,29,35316997951,36,16932954966,20783754738,35317032908
535962121,29,2679850567,32,7153137,836862972,2679810605
635251471,30,53996297933,36,40779685889,3034413799,53996375035
747844847,30,2991303533,32,1254545896,897729022,2991379388
901426573,30,2704320287,32,324021096,908959071,2704279719
938702939,30,63832285157,36,16570167158,43150111,63831799852
969705743,30,970674450803,40,482057909575,446532886513,970675448743
1168809133,31,937383173737,40,934078514862,396162975844,937384924666
1282959263,31,57733168667,36,8835694625,39397334459,57733166835
1692359321,31,573709433849,40,376621174839,410951601928,573709809819
1981056433,31,3962036387,32,1997602417,158081437,3962112866
2163074587,32,43261474181,36,4710372771,23964449895,43261491740
2355798481,32,49471828573,36,40497578325,22700943971,49471768101
3114777209,32,46721279837,36,18784218085,15543414608,46721658135
3476203369,32,66048127297,36,33426069527,2971961054,66047864011
7900622417,33,703155413291,40,248860199298,698630928233,703155395113
8646163843,34,795448043077,40,147632930743,290341676691,795447073556
9751591319,34,58509120749,36,9317323821,17532437155,58509547914
10435042301,34,1033070811293,40,24643768974,554574436613,1033069187799
11735931811,34,563323940233,40,285778749878,418098718078,563324726928
13151117513,34,946879583653,40,893719992129,584097166803,946880460936
17163203741,34,978304011259,40,27634163108,260051425671,978302613237
30223680343,35,906710325509,40,715688027798,830951408720,906710410290
40973760049,36,40973646341,36,12261478654,28608915736,40973760049
47398156109,36,758370614527,40,695278013686,124904233530,758370497744
58000867387,36,58001088683,36,38131992047,20057303514,58000867387
60557803661,36,1029482866703,40,442899034785,859268132459,1029482662237
66399890399,36,66399870751,36,42558544557,27267684466,66399890399
68475880777,36,821710011011,40,297944089434,145506329123,821710569324
